[2026-06-28 19:05:54] 开始获取全市场A股实时行情...
[2026-06-28 19:07:01] 获取到 5867 条股票数据
[2026-06-28 19:07:01] 列映射: {'code': '代码', 'name': '名称', 'price': '最新价', 'change_pct': '年初至今涨跌幅', 'amount': '成交额', 'turnover': '换手率'}
[2026-06-28 19:07:02] 预筛选候选股票: 4876 只
[2026-06-28 19:07:02] [1/4876] 处理 001399 N惠科...
[2026-06-28 19:07:02] [2/4876] 处理 920363 莱赛激光...
[2026-06-28 19:07:03] [3/4876] 处理 920405 海希通讯...
[2026-06-28 19:07:03] [4/4876] 处理 300264 佳创视讯...
[2026-06-28 19:07:04] [5/4876] 处理 301349 信德新材...
[2026-06-28 19:07:04] [6/4876] 处理 688432 有研硅...
[2026-06-28 19:07:04] [7/4876] 处理 688596 正帆科技...
[2026-06-28 19:07:05] [8/4876] 处理 688409 富创精密...
[2026-06-28 19:07:05] [9/4876] 处理 301051 信濠光电...
[2026-06-28 19:07:06] [10/4876] 处理 300162 雷曼光电...
[2026-06-28 19:07:06] [11/4876] 处理 300540 蜀道装备...
[2026-06-28 19:07:07] [12/4876] 处理 300338 *ST开元...
[2026-06-28 19:07:07] [13/4876] 处理 688584 上海合晶...
[2026-06-28 19:07:08] [14/4876] 处理 300668 杰恩股份...
[2026-06-28 19:07:08] [15/4876] 处理 688156 路德科技...
[2026-06-28 19:07:09] [16/4876] 处理 300260 新莱应材...
[2026-06-28 19:07:09] [17/4876] 处理 300749 顶固集创...
[2026-06-28 19:07:10] [18/4876] 处理 300088 长信科技...
[2026-06-28 19:07:10] [19/4876] 处理 920438 戈碧迦...
[2026-06-28 19:07:11] [20/4876] 处理 300592 华凯易佰...
[2026-06-28 19:07:11] [21/4876] 处理 688392 骄成超声...
[2026-06-28 19:07:11] [22/4876] 处理 301096 百诚医药...
[2026-06-28 19:07:12] [23/4876] 处理 300877 金春股份...
[2026-06-28 19:07:12] [24/4876] 处理 300084 海默科技...
[2026-06-28 19:07:13] [25/4876] 处理 301236 软通动力...
[2026-06-28 19:07:13] [26/4876] 处理 300762 上海瀚讯...
[2026-06-28 19:07:14] [27/4876] 处理 688328 深科达...
[2026-06-28 19:07:14] [28/4876] 处理 688272 富吉瑞...
[2026-06-28 19:07:15] [29/4876] 处理 688168 安博通...
[2026-06-28 19:07:15] [30/4876] 处理 920402 硅烷科技...
[2026-06-28 19:07:16] [31/4876] 处理 301611 珂玛科技...
[2026-06-28 19:07:16] [32/4876] 处理 688818 电科蓝天...
[2026-06-28 19:07:17] [33/4876] 处理 920961 创远信科...
[2026-06-28 19:07:17] [34/4876] 处理 300720 海川智能...
[2026-06-28 19:07:18] [35/4876] 处理 688028 沃尔德...
[2026-06-28 19:07:18] [36/4876] 处理 688535 华海诚科...
[2026-06-28 19:07:18] [37/4876] 处理 600545 卓郎智能...
[2026-06-28 19:07:19] [38/4876] 处理 601016 节能风电...
[2026-06-28 19:07:19] [39/4876] 处理 002930 宏川智慧...
[2026-06-28 19:07:20]   → 60日跌幅 -32.69%，符合条件！
[2026-06-28 19:07:20] [40/4876] 处理 603861 白云电器...
[2026-06-28 19:07:20] [41/4876] 处理 002910 庄园牧场...
[2026-06-28 19:07:21] [42/4876] 处理 603903 中持股份...
[2026-06-28 19:07:21] [43/4876] 处理 002129 TCL中环...
[2026-06-28 19:07:22] [44/4876] 处理 605399 晨光新材...
[2026-06-28 19:07:22] [45/4876] 处理 605366 宏柏新材...
[2026-06-28 19:07:23] [46/4876] 处理 605296 神农集团...
[2026-06-28 19:07:23] [47/4876] 处理 002253 川大智胜...
[2026-06-28 19:07:23] [48/4876] 处理 600962 国投中鲁...
[2026-06-28 19:07:24] [49/4876] 处理 001210 金房能源...
[2026-06-28 19:07:24] [50/4876] 处理 002559 亚威股份...
[2026-06-28 19:07:25] [51/4876] 处理 600343 航天动力...
[2026-06-28 19:07:25] [52/4876] 处理 002962 五方光电...
[2026-06-28 19:07:26] [53/4876] 处理 002965 祥鑫科技...
[2026-06-28 19:07:26] [54/4876] 处理 002119 康强电子...
[2026-06-28 19:07:27] [55/4876] 处理 000823 超声电子...
[2026-06-28 19:07:27] [56/4876] 处理 600481 双良节能...
[2026-06-28 19:07:28] [57/4876] 处理 601133 柏诚股份...
[2026-06-28 19:07:28] [58/4876] 处理 002568 百润股份...
[2026-06-28 19:07:29] [59/4876] 处理 001400 江顺科技...
[2026-06-28 19:07:29] [60/4876] 处理 001270 铖昌科技...
[2026-06-28 19:07:29] [61/4876] 处理 002106 莱宝高科...
[2026-06-28 19:07:30] [62/4876] 处理 001389 广合科技...
[2026-06-28 19:07:30] [63/4876] 处理 001215 千味央厨...
[2026-06-28 19:07:31] [64/4876] 处理 603650 彤程新材...
[2026-06-28 19:07:31] [65/4876] 处理 002674 兴业科技...
[2026-06-28 19:07:32] [66/4876] 处理 603687 大胜达...
[2026-06-28 19:07:32] [67/4876] 处理 600367 红星发展...
[2026-06-28 19:07:33] [68/4876] 处理 003033 征和工业...
[2026-06-28 19:07:33] [69/4876] 处理 603698 航天工程...
[2026-06-28 19:07:34] [70/4876] 处理 603261 立航科技...
[2026-06-28 19:07:34] [71/4876] 处理 603163 圣晖集成...
[2026-06-28 19:07:35] [72/4876] 处理 600552 凯盛科技...
[2026-06-28 19:07:35] [73/4876] 处理 600118 中国卫星...
[2026-06-28 19:07:35] [74/4876] 处理 603722 阿科力...
[2026-06-28 19:07:36] [75/4876] 处理 603956 威派格...
[2026-06-28 19:07:36] [76/4876] 处理 603194 中力股份...
[2026-06-28 19:07:37] [77/4876] 处理 603270 金帝股份...
[2026-06-28 19:07:37] [78/4876] 处理 603977 国泰集团...
[2026-06-28 19:07:38] [79/4876] 处理 002180 奔图科技...
[2026-06-28 19:07:38] [80/4876] 处理 603928 兴业股份...
[2026-06-28 19:07:39] [81/4876] 处理 600539 狮头股份...
[2026-06-28 19:07:39] [82/4876] 处理 603155 新亚强...
[2026-06-28 19:07:40] [83/4876] 处理 000620 盈新发展...
[2026-06-28 19:07:40] [84/4876] 处理 601369 陕鼓动力...
[2026-06-28 19:07:41] [85/4876] 处理 002354 天娱数科...
[2026-06-28 19:07:41] [86/4876] 处理 002141 贤丰控股...
[2026-06-28 19:07:41] [87/4876] 处理 300102 乾照光电...
[2026-06-28 19:07:42] [88/4876] 处理 300243 瑞丰高材...
[2026-06-28 19:07:42] [89/4876] 处理 920489 佳先股份...
[2026-06-28 19:07:43] [90/4876] 处理 688663 新风光...
[2026-06-28 19:07:43] [91/4876] 处理 688359 三孚新科...
[2026-06-28 19:07:44] [92/4876] 处理 300727 润禾材料...
[2026-06-28 19:07:44] [93/4876] 处理 300900 广联航空...
[2026-06-28 19:07:45] [94/4876] 处理 300382 斯莱克...
[2026-06-28 19:07:45] [95/4876] 处理 688102 斯瑞新材...
